id,public_petition_text,reason_category
2971093,мусор,Благоустройство
3341831,"надписи, объявления на фасаде и дверях со стороны улицы
Осталось объявление",Благоустройство
3225966,"Снег при подъезде к школе не почищен,не подъехать посадить высадить ребенка",Благоустройство
3366839,"Подъезд 3, отсутствует освещение в грузовом лифте.",Содержание МКД
3070821,"Неудовлетворительное  состояние грузового лифта в 6 парадной: надписи на стенах, следы наклеек. Прошу привести в надлежащее состояние.",Содержание МКД
3324640,упавшее дерево на газоне,Благоустройство
3037721,Глубокие колеи на Индустриальном проспекте в левом ряду (от ш. Революции в сторону Ириновского пр.) проезжей части перед разворотом,Благоустройство
3088316,"При выполнении работ по ремонту парадной 3 на 1 этаже перила в надлежащем состоянии заменены на неудобный в эксплуатации кусок трубы без опорных стоек или балясин! Примитивная форма, конструкция и высота не позволяет пользоваться новыми перилами детям и, возможно, жильцам преклонного возраста. На фото: было/стало.",Содержание МКД
3079296,Убрать листву с газонов.,Благоустройство
3343048,Мусор в канаве.,Благоустройство
3179480,"Установлен кондиционер, очень портит вид фасада дома",Нарушение правил пользования общим имуществом
3255732,Надпись чёрным маркером в 7 парадной на 9 этаже,Содержание МКД
3239752,Антенна,Нарушение правил пользования общим имуществом
3279460,Повреждения дорожного покрытия проезжей части,Благоустройство
3107511,граффити и самоклей на здании,Благоустройство
3336484,"За 2021 год уборка в 4 парадной производилась 1 раз
Уборка не сделана. К сожалению фото не передаёт всей грязи, которая есть по факту",Содержание МКД
3042709,"Снова миллион окурков. На втором фото окурки валяются вплоть до конца забора на фото. Так что, не филоньте и уберите все тщательно",Благоустройство
3371406,Мусор на придомовой территории,Благоустройство
3194483,Блок кондиционера,Нарушение правил пользования общим имуществом
3170638,"Неисправность входной двери (вторая дверь внутри тамбура) первый этаж. Сорвано верхнее крепление, из-за чего дверь перекашивается и не открывается. Выход на Ленинский проспект.",Содержание МКД
3041518,"Замусорен газон, много мелкого мусора.",Благоустройство
3038523,Неудовлетворительное состояние грузового лифта. Трескается потолок,Содержание МКД
3311862,Повреждён асфальт,Благоустройство
3305105,Повреждения дорожного покрытия проезжей части,Благоустройство
3302026,объявление,Благоустройство
3205381,Полусферы необходимо убрать на часть тротуарной дорожки на которой припаркована тёмное машина изображенная на фото￼￼.,Благоустройство
3090916,Не работает фонарь,Благоустройство
2999133,"В парадной #1, которая находится во дворе дома (после арки направо), из-за периодических протечек в подвальном помещении разрушается лестница. Некоторые ступени шатаются, верхняя провалилась относительно площадки 1 этажа.",Содержание МКД
3018705,"Нарушение требований безопасной эксплуатации. Отсутствие Ограждения панорамного остекления.
По адресу проспект Ветеранов 160 подъезд 2 демонтировано/утрачено и не восстановлено ограждение панорамных окон у лифтовых площадок верхних этажей (6,7,8 этаж). Для обеспечения безопасности жильцов и предотвращения случайного выпадения из окон  (высокая опасность для детей) 
необходимо оперативно восстановить ограждение.
Прошу выполнить работы в минимально возможные сроки
Спасибо
Установленное ограждение должно иметь возможность открытия в случае чс. См. Фото. Необходимо установить петли и произвести окраску, а так же удалить острые, выступающие элементы конструкций. 
Фото того как это должно быть, прилагаю.",Содержание МКД
3008052,Необходимо произвести очистку рекламной конструкции от незаконных объявлений,Состояние рекламных или информационных конструкций
3101959,Надписи на окне павильона.,Благоустройство
3318913,"Мусор н Крупской,29.",Благоустройство
2970041,объявления на опоре освещения,Благоустройство
3061245,Просьба стереть надписи. Спасибо,Благоустройство
3136619,"В 4й парадной грузовой лифт не уезжает с первого этажа. Двери закрываются, но открываются снова на первом этаже.",Содержание МКД
3121392,Слабо светит лампочка,Содержание МКД
3057042,Мусор валяется (колёса),Благоустройство
3119164,3 этаж МОП отсутствует жаропрочное стекло на дверях,Содержание МКД
3265315,Просьба устранить крен ТСОДД,Благоустройство
3036630,грязь в подъезде. несоблюдение графика уборки,Содержание МКД
3084405,"Требуется произвести работы по качественной очистке столба (сооружения) от несанкционированного рекламного объявления, не оставляя следов. 

Фотофиксация от 16.12.прилагается.",Благоустройство
3030188,"На 1 этаже парадной 4 второй месяц в МОП хранится детская коляска. Реакция ТСЖ на предыдущие обращения следующая: отодвинуть коляску, сфотографировать пустой этаж, отправить правильный отчёт в администрацию, вернуть коляску на лестничную клетку. То есть проблема по существу не решается. В третий раз прошу обязать убрать детскую коляску с этажа (навсегда, а не для отчёта).",Содержание МКД
2973444,Требуется убрать объявления и их остатки,Благоустройство
3029089,Бумажные объявления на ТСОДД,Благоустройство
3320554,Прошу убрать надписи,Благоустройство
3089420,Не работает освещение над аркой во дворе. Другие фонари во дворе работают,Содержание МКД
3268670,"Очистить дорожный знак от самоклея, без остатка следов.",Благоустройство
3369221,Не убирается территория возле дома 16 корпус 1 по улице Подвойского,Благоустройство
3348612,Реклама на стене дома,Благоустройство
3312145,"Вторую неделю стоит мусор на первом этаже в первой парадной. Мусор остался после ремонта застройщиком второго входа в парадную. Первый этаж, согласно уведомлению от УК, должны убирать каждый день. Однако мусор стоит две недели.",Содержание МКД
3279710,граффити на фасаде,Благоустройство
3196781,надписи на стене,Благоустройство
3135631,Нет влажной уборки лестниц на этажах. Грязь и обоссанные лестницы. За всю пандемию ни разу не проводили обработку от ковид,Содержание МКД
3307482,"Ямы на дороге, проехать возможно с трудом",Благоустройство
3118939,не работает освещение на Пухтоловской дороге,Благоустройство
3095890,Несанкционированные объявления на опоре освещения,Благоустройство
3160679,"самовольно зашитые световые окна подьезда 1.
необходимо восстановление прозрачного остекления.",Благоустройство
3112359,снег на дороге,Благоустройство
3302351,На перекрестке пр. Луначарского и ул. Черкасова фонарь не горит. Устраните гашение.,Благоустройство
3364524,Надписи на переходе.,Благоустройство
3304681,"Осенью 2019 года во дворе дома по адресу проспект Ветеранов 155 устранили дефект асфальтного покрытия на проезжей части. Асфальт был уложен скорее всего с нарушением технологии, что привело к дальнейшему выкрашиванию асфальта. На проезжей части образовалась аварийная яма в соответствии с ГОСТ ГОСТ Р 50597-2017 ""Автомобильные дороги и улицы. Требования к эксплуатационному состоянию, допустимому по условиям обеспечения безопасности дорожного движения"".",Благоустройство
3330618,"Большая яма вдоль дома по адресу: СПБ, Коммуны д 28к2, которая постоянно затрудняет проезд транспортным средствам, очень сложно объезжать, когда вдоль дома с двух сторон припаркованы автомобили.",Благоустройство
3025798,Несанкционированные надписи,Благоустройство
2986735,"Добрый день!
Прошу изыскать возможность по благоустройству дворовой территории по адресу  наб. Обводного канала дом 128, в части установки - вазонов, цветочниц, полусфер (препятствующим парковку автомобилей на внутридворовой территории), садовых скамеек и скамеек-качелей.
В настоящий момент во дворе, кроме урн у подъездов ничего к сожалению нет.
Большое спасибо!",Благоустройство
3091487,Ямы,Благоустройство
3237317,Ящики с силовым электрооборудованием сломаны автовладельцами. Прошу восстановить. Метка на карте установлена с точностью +-20 метров,Благоустройство
3088187,"Не работает освещение, устранить",Содержание МКД
2965219,"Между домами 80 и 82 много грязи, окурков, листьев и мелкого мусора",Благоустройство
3300924,Бумажные объявления на опоре,Благоустройство
3120653,прошу произвести уборку лифтового холла и мест общего пользования на 21этаже ( больше месяца не проводится уборка ),Содержание МКД
3070734,Не освещается вход в парадную.,Содержание МКД
2998945,уберите рекламное объявление с столба электропередачи,Благоустройство
3247028,Наледь на тротуаре 10й Красноармейской улицы по нечётной стороне от Лермонтовского проспекта.,Благоустройство
3171180,Постоянно лежит мусор,Благоустройство
3246189,Требуется ремонт! Улица лиственная !!!!!!!!,Благоустройство
3040497,"Неудовлетворительное состояние дорожного полотна внутри двора по адресу : Заневский проспект, 23
ГОСТ 50597-2017
«Требования к эксплуатационному состоянию, допустимому по условиям обеспечения безопасности дорожного движения». В этом документе указаны допустимые размеры ямы: глубина ямы – до 5 см; ширина – до 60 см; длина заглубления – до 15 см.
Из этого закона следует: если яма больше хоть за один параметр, то на этом участке должны быть установлены соответствующие дорожные знаки. А дорожная служба в течение 10 дней должна устранить опасные недостатки на дороге. У жителей двора ломаются автомобили, приходится чинить подвеску на машине из-за этих больших ям.",Благоустройство
3223399,"Нечищена кровля от снега. Все 4 дома Жилой городок Стрельна. Снег свисает. Там люди ходят в магазин, идут на работу, возвращаются домой, дети идут в школу мимо этих домов, родители ведут детей в сад. Скоро потепление и вся эта масса снега может рухнуть на кого-нибудь.
ЖКС ещё полторы недели назад передало информацию в ответственную организацию, но ничего не изменилось.",Кровля
3021411,Необходимо произвести очистку сооружения от надписей,Благоустройство
3355140,Убрать с газона пни.,Благоустройство
3295022,Незаконная рекламная конструкция,Незаконная информационная и (или) рекламная конструкция
3051155,мусор никогда не убирается! очень грязно! почему дворники не работают!? нужно подмести мусор,Благоустройство
3376908,Авария ГВС. Затапливает подвал!,Водоснабжение
3095434,"сбиты/стёрты ступени в подьезде 1.
необходимо цементирование.",Содержание МКД
2951880,"В 4 парадной электрощитовая на 1 этаже не закрывается, из-за чего постоянно оттуда вырываются провода и не работает домофон",Содержание МКД
2998250,"Необходимо зачистить территорию от мусора и листвы
Проблема первичного сообщения не устранена в полном объёме 
Необходимо зачистить территорию от мусора и листвы
Разве это уборка, Жкс 2, вы там в себе?
Придомовой газон не зачищен от листвы, хотя уже ноябрь!! Весенний месячник закончился давно, а у вас такой срач!
Проезд в грязи и листве!!
Прилагаю фото скана ответа где видно что листву не убрали с территории до конца. И проезд грязный.
Прошу устранить в полном объёме первоначальную проблему
Проблема так и не устранена!!! 
Очееень грязно. Очень много листвы на придомовой территории 
Проезд в грязи, что видно из фото ответа 
Проблема первичного сообщения не устранена в полном объёме 
Необходимо зачистить территорию от мусора и листвы
Разве это уборка, Жкс 1, вы там в себе?
Придомовой газон не зачищен от листвы, хотя уже ноябрь!! Весенний месячник закончился давно, а у вас такой срач!
Проезд в грязи и листве!!
Прилагаю фото скана ответа где видно что листву не убрали с территории до конца. И проезд грязный.
Прошу устранить в полном объёме первоначальную проблему",Благоустройство
3153810,Уборка на лестнице не проводится несколько недель (см. график). Просьба принять меры!,Содержание МКД
2963143,Необходимо убрать мелкий бытовой мусор.,Благоустройство
3117089,Надписи,Благоустройство
3305889,Л/К №7. Деформирована и не закреплена часть рекламного стенда в лифте.,Содержание МКД
2960617,Не работает освещение под козырьком,Содержание МКД
3143547,"Прогнута панель освещения в лифте, подъезд 4",Содержание МКД
3024211,"По аналогии с УСПЕШНО отработанными сообщениями:
http://gorod.gov.spb.ru/problems/2548565
http://gorod.gov.spb.ru/problems/2534649
http://gorod.gov.spb.ru/problems/2308878
http://gorod.gov.spb.ru/problems/2012786
http://gorod.gov.spb.ru/problems/2012780
http://gorod.gov.spb.ru/problems/1951797
http://gorod.gov.spb.ru/problems/1951766
http://gorod.gov.spb.ru/problems/1951763
http://gorod.gov.spb.ru/problems/2026887
прошу принять соотв. меры,
направленные на соблюдение требований законодательства СПб
в части устранения проблемы наличия решётки,
самовольно размещенной на фасаде.",Нарушение правил пользования общим имуществом
3279611,"Прошу проверить законность размещение рекламы на фасаде здания (короб ""Страхование"")",Незаконная информационная и (или) рекламная конструкция
3132159,Необходимо убрать бытовой мусор.,Благоустройство
3135005,Надписи на двери.,Благоустройство
3092191,"контейнер для вывоза мусора без крышки и объём 14м3, вместо положенных, не более, 8м3.
Большой контейнер вернули на место после фотофиксации. 
  Фото в реальном времени  17:34   23.12.2020",Содержание МКД
3072005,Бумажные объявления на сооружении,Благоустройство
2968651,Реклама на фонарном столбе.,Благоустройство
3245959,"Неисправна лампа на шестом этаже, в помещении с мусоропроводом",Содержание МКД
2985426,Асфальт на этой парковке покрыт глубокими ямами и имеет ненадлежащий вид. Необходимо произвести асфальтирование ям и решить эту проблему,Благоустройство
3075924,"Не работают светильники. Если присмотреться, то даже кабелей питающих светильники нет. 
Просьба провести работы по ремонту/замене светильников. Желательно наладить современное светодиодное освещение.",Благоустройство
3327365,"Мусор на газоне, необходимо убрать",Благоустройство
3174306,Очистить,Незаконная информационная и (или) рекламная конструкция
3178754,"Уже около месяца из крана периодически идёт мутная вода, на дне ванной остаётся осадок. Сегодня шла ржавая вода. Соседи оставляли заявки в ук с декабря 2020 г.",Водоснабжение
3220260,Пора менять проржавевшую входную дверь,Содержание МКД
3272740,"После производства работ залатали асфальтовое покрытие безобразно. Зачем-то прихватив газон. В центральном месте нашего микрорайона, прямо напротив метро Пролетарская. Сколько можно бороться с уродством? Куда смотрит МО Обухово?",Благоустройство
3076640,Прошу закрасить граффити,Благоустройство
3268653,"Мусор во дворе
Не убирается",Благоустройство
2996684,"Температура горячей воды очень низкая.
Согласно пункта 2.4  СанПиН 2.1.4.2496-09 ""Гигиенические требования к обеспечению безопасности систем горячего водоснабжения""  температура горячей воды должна быть не ниже  60°С. В настоящее время во 2й парадной дома в утренние и дневные часы температура горячей воды ниже 20°С. Что нарушает санитарные нормы. Данный вопрос не решается больше года. Прошу решить данную проблему.",Водоснабжение
3025226,нелегальная рекламная конструкция,Незаконная информационная и (или) рекламная конструкция
2992119,"фонарь то горит, то гаснет",Благоустройство
3316105,рисунки на знаках,Благоустройство
2994011,Мусор у дороги+ мусор в воде рядом с дорогой. Приблизительно месторасположение отметила на карте,Благоустройство
2980461,"Незаконная информационная конструкция. 
Выделена красным на четвертом фото.
Прошу убрать и провести беседу с владельцем",Незаконная информационная и (или) рекламная конструкция
3001403,ямы на дорогах,Благоустройство
3345096,Размытый грунт вокруг люка. Почва явно сливается в сам люк,Повреждения или неисправность элементов уличной инфраструктуры
3129695,"нет ежедневной влажной уборки у мусороприемников уже 5 дней,парадная 7
а так же лифт,смотрите даты!",Содержание МКД
3183982,Граффити на стенах,Благоустройство
2980910,Листва,Благоустройство
3250251,"провис провода. сорвался со стены, висит над входом в 2 подъезд на высоте человеческого роста.",Благоустройство
3018009,неудовлетворительное состояние контейнерной площадки,Содержание МКД
3005666,не работает. починить фонарь.,Благоустройство
3348524,самовольный светильник-прожектор.,Нарушение правил пользования общим имуществом
3323261,"Конструкции детской площадки все в незаконных надписях. 
Просьба провести работы по очистке конструкций от надписей. 
Координаты 60.057557, 30.332072
Фото сняты 03.04.2021",Благоустройство
3015761,Необходимо демонтировать незаконную рекламную конструкцию,Незаконная информационная и (или) рекламная конструкция
3045164,Уборка производится плохо. Весь подъезд в грязи.,Содержание МКД
3157861,Мусор в арке дома 9 по Угловому переулку у 5-ой парадной,Благоустройство
3189364,"нет света на лестнице на 3м, 8,10 и 11 этажах",Содержание МКД
3097500,Шины на газоне,Благоустройство
3143802,Второй месяц неисправен домофон и с улицы и со двора  3 парадная кв 86( при звонке выдаёт ошибку).необходимо немедленно устранить.,Содержание МКД
3300935,регулярные срывы графика вывоза мусора,Содержание МКД
3066766,Пожарная лестница. Между 5 и 6 тускло светит лампочка.,Содержание МКД
2999079,Заложены ржавыми листами окна,Подвалы
3223986,"Постановлением Главного государственного санитарного врача РФ от 10.06.2010 № 64 
«Об утверждении СанПиН 2.1.2.2645-10» 
8.2.5. Для установки контейнеров должна быть оборудована специальная площадка с бетонным или асфальтовым покрытием, ограниченная бордюром и зелеными насаждениями (кустарниками) по периметру и имеющая подъездной путь для автотранспорта. 
В соответствии со ст. 2.2.7. «СанПиН 42-128-4690-88.
Согласно Акта осмотра прилегающей территории МКД от 29.04.2020г. по ул. Академика Лебедева, д.10В расстояние от МКД  до мусорной контейнерной площадки менее 20 кв. м..
Прошу устранить нарушения.",Благоустройство
3295098,После замены освещения остались не закрашены места от старых светильников !!! И торчат проводя питания к лампе,Содержание МКД
3184835,Не работает лампа на доме у аптеки Лекоптторг,Содержание МКД
3338329,"Вся территория, окружающая здание ЖЭС 8, находится в полной антисанитарии. Бытовой мусор, битое стекло, палки, камни находятся на асфальте и на газоне вокруг здания.",Благоустройство
3333838,"Везде разбросан мусор от помойки, ходить противно!",Благоустройство
3349518,Мусор на придомовой территории и на газонах,Благоустройство
3335158,Просьба стереть надписи. Спасибо,Благоустройство
3038695,Мусор на газонах. Дворники игнорируют,Благоустройство
3240982,прошу удалить объявление с забора,Благоустройство
3346854,Мусор,Благоустройство
3278492,уберите,Благоустройство
2952458,"Во дворе вдоль стены покрашенной в жёлтый цвет, хаотично сложен старый снятый камень после частичного ремонта.
Требуется убрать.",Благоустройство
3318121,"Во дворе, на газонах между парадными, очень много мусора",Благоустройство
3111761,Сосульки на крыше.,Кровля
3201890,Надписи,Благоустройство
3274007,Железобетонные изделия на газоне,Благоустройство
3072622,Прошу отремонтировать просевшую дверь на 11 этаже лифтового холла 10 парадной.,Содержание МКД
3120769,Надписи,Благоустройство
3192961,"Здравствуйте, покрасьте пожалуйста железную площадку где кнопка вызова лифта. Спасибо.",Содержание МКД
3124670,реклама на дереве,Благоустройство
3152857,"На фасаде дома висит провод, необходим демонтаж. (Просьба не путать с другими сообщениями)",Благоустройство
3123294,Просьба устранить погашение на опоре освещения,Благоустройство
3353387,дверь на 5 этаже не закрывается,Содержание МКД
3349839,"Уборка аллеи была проведена не качественно: в кустах, за кустами по-прежнему мусор, листва, просьба привести в порядок газон на совесть!",Благоустройство
3065452,Спилили дерево и 2 месяца обрубки лежат неубранные.,Благоустройство
3249600,"Столбы-Цепь с замком. 
Во дворе дома, расположенного по адресу: г. Санкт-Петербург, Гражданский проспект 114, корпус 6 незаконно установленны металлические столбики с цепочками, которые закрываются на замок. Двор относится к местам общего пользования (это общедолевая собственность) тем самым получив муниципальную землю в свое личное пользование владельцами автомобилей нарушены были статьи 7.1 Коап РФ Самовольное занятие земельного участка и статья 12.33 Коап РФ Повреждение дорог (при установки ограждения), п.4 Ст.36 и п.4 ст. 37 ЖК РФ, также была нарушена статья 330 Уголовного кодекса РФ-Самоуправство.Прошу Вас помочь решить вопрос о сносе металлических ограждений в Нашем дворе и предоставить возможность оставлять свои автомобили около дома и другим жильцам,так как зачастую свободное место свободно, но в связи с тем, что оно огороженно цепочкой, закрытой на замок мы не можем поставить свой автомобиль на это машиноместо и нам приходиться искать место в соседнем дворе.Заранее благодарен",Благоустройство
3025122,уберите пакеты с мусором с газона,Благоустройство
3216147,"Низкая температура на цокольном этае парадной единственной красной звезды 9, температура 7 градусов, при положенных 16, 
XXXXXXX XXXXXXX XX XXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXX XX XXXXXXXXXXXX XX XXXX XXXXXX XXXXX X XX XXXXX XXXXXXX XXXXXXXX
 на первом этаже температура не многим выше (около 10)",Центральное отопление
3232690,"Рекламные конструкции, установленные администрацией города(района) содержатся в отвратительном состоянии. 
Может быть не стоит заклеивать щиты белой бумагой? Словно специально белую доску для надписей поставили!!! Логичнее было бы расклеить рекламные плакаты.
А пока, требуется привести конструкции в приличный вид!!!",Состояние рекламных или информационных конструкций
3279155,Необходимо убрать надписи с двери,Благоустройство
3114881,Надписи на остановке.,Благоустройство
3253446,Мусор,Благоустройство
3342102,очистите о о,Благоустройство
3209821,Оторвана заплатка на мусоропроводе между 2 и 3 эт. Просьба починить.,Содержание МКД
2966346,Мусор.,Благоустройство
3007782,Неудовлетворительное состояние из информационного щитка на детской площадке,Благоустройство
3246785,"Надписи на фасаде. Фотофиксация- 01.03.2021г., 16:00.",Благоустройство
3250849,не соблюдается график уборки подьезда. очень грязно в подъезде.,Содержание МКД
3202125,неубранный снег,Благоустройство
3263262,восстановить освещение,Содержание МКД
3252046,паллеты,Благоустройство
2982962,"На углу на газоне лежит ж/б кольцо. Необходимо его убрать и восстановить газон на этом месте.

По данной проблеме было обращение ещё в 2018году (номер 897957), но тогда подрядчик скорее всего просто присыпал его землёй. Так как по фото 2018 года и сейчас это одно и тоже бетонное кольцо.",Благоустройство
3208139,Бытовой мусор на Банном переулке. Рядом с Загородным,Благоустройство
3341519,"Добрый день!
Проблема в провалившемся асфальте у люка, из-за чего образовалась дыра, куда может попасть и застрять колесо а/м, данная проблема с асфальтом во дворе дома по адресу наб. реки Фонтанки 171",Повреждения или неисправность элементов уличной инфраструктуры
3128691,снег на дороге,Благоустройство
3056250,прошу закрасить граффити и смыть объявление,Благоустройство
3236916,деревья вдоль дома 4 по кронштадтской ул. выглядят аварийными. необходим срочный демонтаж. суммарно порядка шести штук.,Благоустройство
3146695,снег на дороге,Благоустройство
3281913,неочищенный контейнер,Содержание МКД
3280606,"Требуется произвести работы по качественной очистке фасада здания от несанкционированных рекламных объявлений, не оставляя следов. 

Фотофиксация от 18.03.прилагается.",Благоустройство
3194653,Сломан доводчик двери в 20 парадной,Содержание МКД
3240704,реклама так и стоит,Незаконная информационная и (или) рекламная конструкция
3120489,здравствуйте. самовольное размещение декоративных решеток на фасаде и кровле МКД. требуется проверка / при подтверждении - решение вопроса. актуальное фото прилагается. спасибо.,Нарушение правил пользования общим имуществом
3287448,"Не закрываются плотно двери на этаже 4 Садовая ул., д. 88, стр. 1, 
XXX XXX
, парадная 4 (от лифта в коридор и на лестницу, всего 2 двери).",Содержание МКД
3357724,Реклама на светофоре.,Благоустройство
3017531,Краска на трубе 1 эт,Содержание МКД
3068429,Мусор у тополя,Благоустройство
3008894,"Не убирают на улице, мусор лежит по несколько дней.",Благоустройство
3245019,На пожарной(черной) лестнице хранятся вещи.,Содержание МКД
3356587,У дома 3 по проспекту Елизарова во время ремонта подземных труб была демонтирована детская площадка. По окончании работ площадка не была восстановлена. У дома нет другой доступной детской площадки и отсутствует зона отдыха для жителей указанного дома. Прошу обустроить детскую площадку по данному адресу. Фото места прилагаю.,Благоустройство
3178685,ямы на Нефтяной дороге,Благоустройство
3357926,"Дворовая урна возле подъезда №3 находится в неудовлетворительном состоянии:
покрытие очень грязное, как снаружи, так и внутри, отслоения окрасочного слоя, копоть.
Требуется произвести работы по приведению урны в надлежащее состояние, а именно:
1. В рамках подготовки поверхностей произвести промывку всей урны с использованием моющих средств и струи высокого давления;
2. Удалить оставшиеся после помывки неровности. 
Произвести качественную окраску урны, в том числе и внутри.
*Для достижения наилучшего эффекта рекомендуется окрашивать в несколько слоёв.

Фотофиксация от 14.04.прилагается.",Благоустройство
3319166,"дворник коммунального предприятия собрал мусор в мешки и ушёл , до мусорного бака нести не захотел. Мусор необходимо убрать в рамках выбранной категории.",Благоустройство
3318086,"фонтана 126 подъезд №7пока не напишешь ничего не делают!Вопрос зачем нам управдом?  и жилищный кодекс? Вы читали указ президента ,как надо убирать подъезд в пандемию!!! И то что нереже месяца!!! взрослые люди!  Будьте ответственнее! вы еще и зарплату получаете  ! и налог платите! делаете же для себя! спасибо!",Содержание МКД
2955341,"Дыра между лестницей и стеной 7 эт, может застрять нога ребенка",Содержание МКД
3205686,Граффити на доме надо убрать,Благоустройство
3175714,"Cамовольное размещение полок и зеркала на лестничной клетке в подъезде 5 возле кв. 
XX",Содержание МКД
3250074,Мусор на Детской Площадке,Благоустройство
3051543,"самовольная окраска балкона 2эт.
(подъезд 8).
необходимо привести в единую разрешенную коллеровку.",Фасад
